cancellation_region,certified_noncancellation_window,coherence_threshold,comparison_start_time,comparison_stop_time,comparison_window,epsilon,full_imaginary,full_magnitude,full_real,morse_imaginary,morse_magnitude,morse_phasor_coherence,morse_real,noncancellation_morse_rms_normalization,time
0,0,0.29999999999999999,1500,10200,0,0.080000000000000002,-6.6088461057097118e-05,0.0010160252220971285,-0.0010138735459871828,-0.00012642435429560545,0.0010344213464785878,0.94189705338009599,-0.001026666647306473,7.4595291414641428e-05,400
0,0,0.29999999999999999,1500,10200,0,0.080000000000000002,0.00053523655845395595,0.00095651946951340338,0.00079274921762974163,0.00061044724134865229,0.00098280841515929317,0.9508319559686319,0.00077023798039160699,7.4595291414641428e-05,425
0,0,0.29999999999999999,1500,10200,0,0.080000000000000002,-0.00081386740689573327,0.00090068959991875387,-0.00038582586667384029,-0.00087850318332432598,0.00093621926538383401,0.95903854041945535,-0.00032363354239768133,7.4595291414641428e-05,450
0,0,0.29999999999999999,1500,10200,0,0.080000000000000002,0.00084500409149817319,0.00084898394430344489,-8.2108605129925166e-05,0.00087696812198500272,0.00089385485494117159,0.96651052064088228,-0.00017292603830539911,7.4595291414641428e-05,475
0,0,0.29999999999999999,1500,10200,0,0.080000000000000002,-0.00064237973618411345,0.00080169248418641428,0.00047964477870713137,-0.00063009523378538006,0.00085507644443683529,0.97324217323474715,0.00057804474064875597,7.4595291414641428e-05,500
0,0,0.29999999999999999,1500,10200,0,0.080000000000000002,0.00028186584210533876,0.00075894079249765522,-0.00070465791244490915,0.00022706819320182,0.00081936743362388809,0.9792283418803005,-0.00078727569943410388,7.4595291414641428e-05,525
0,0,0.29999999999999999,1500,10200,0,0.080000000000000002,0.00012345368178444133,0.00072069301526358218,0.00071004056975892558,0.00020734480523536042,0.00078630560566033433,0.98446444128383481,0.00075847520541859207,7.4595291414641428e-05,550
0,0,0.29999999999999999,1500,10200,0,0.080000000000000002,-0.00045682667424359712,0.00068676515596614222,-0.00051279213054485745,-0.0005495701548272698,0.00075554261166087592,0.9889464606908579,-0.0005184759232196494,7.4595291414641428e-05,575
0,0,0.29999999999999999,1500,10200,0,0.080000000000000002,0.00063028370836386912,0.00065684845917504968,0.00018491172296997862,0.00071102695435853948,0.00072678858378852438,0.99267096695815504,0.000150540080048299,7.4595291414641428e-05,600
0,0,0.29999999999999999,1500,10200,0,0.080000000000000002,-0.00060709457083900299,0.0006305408558355415,0.0001703465671377732,-0.00065997056760658561,0.00069980044089325635,0.99563510718352677,0.00023272195205316856,7.4595291414641428e-05,625
