J0,epsilon,scaled_imaginary,scaled_magnitude,scaled_real,tau,time
0.99980221851722184,0.0050000000000000001,-0.089224580838220879,1.1683810445743674,1.164969201092859,0.028127656348090207,400
0.99977672467115686,0.0050000000000000001,-0.10958662830231639,1.1372230351285573,1.1319306527010997,0.029885634869845846,425
0.99974968609866777,0.0050000000000000001,-0.12170011832019265,1.105105623353444,1.0983840493963188,0.031643613391601481,450
0.9997211028624261,0.0050000000000000001,-0.12628377164150945,1.0734351225813916,1.0659809432683693,0.03340159191335712,475
0.9996909750286822,0.0050000000000000001,-0.12431641971619072,1.043503863850014,1.0360722666198803,0.035159570435112759,500
0.99965930266726777,0.0050000000000000001,-0.11695237384280358,1.0164324780176726,1.0096816947046627,0.036917548956868398,525
0.99962608585159363,0.0050000000000000001,-0.10543779747337392,0.99311231007014789,0.98749933229183973,0.038675527478624037,550
0.99959132465865019,0.0050000000000000001,-0.091032738318267137,0.97415672996698666,0.96989400198900622,0.040433506000379676,575
0.99955501916900746,0.0050000000000000001,-0.074942677394538568,0.95987144269178726,0.95694136790095519,0.042191484522135315,600
0.99951716946681513,0.0050000000000000001,-0.058262452328495321,0.95025218366627151,0.94846439005963068,0.043949463043890948,625
0.99947777563980111,0.0050000000000000001,-0.04193431076747179,0.94501305599189733,0.94408219429009566,0.045707441565646587,650
0.9994368377792725,0.0050000000000000001,-0.026720742011327299,0.94364174953852842,0.94326335316204191,0.047465420087402226,675
0.99939435598011506,0.0050000000000000001,-0.013191705921134531,0.94547180987826285,0.94537977668732065,0.049223398609157865,700
0.99935033034079246,0.0050000000000000001,-0.0017249967750030653,0.94975942380867184,0.9497578572981149,0.050981377130913504,725
0.99930476096334664,0.0050000000000000001,0.007482204838648642,0.95575342781303463,0.95572413979511794,0.052739355652669143,750
0.99925764795339778,0.0050000000000000001,0.014392999230647343,0.96275111671852565,0.96264352400871367,0.054497334174424782,775
0.99920899142014286,0.0050000000000000001,0.019104290733338698,0.97013690879828562,0.96994878621928771,0.056255312696180414,800
0.99915879147635656,0.0050000000000000001,0.021816815682857951,0.97740447966199906,0.97716096085384163,0.058013291217936053,825
0.99910704823839003,0.0050000000000000001,0.02280414756175914,0.98416503638349573,0.98390080277114766,0.059771269739691692,850
0.99905376182617156,0.0050000000000000001,0.02238282616900808,0.99014513311308316,0.98989211216183215,0.061529248261447331,875
0.99899893236320536,0.0050000000000000001,0.020885329820208215,0.99517730292422768,0.99495812336692901,0.063287226783202963,900
0.99894255997657255,0.0050000000000000001,0.018637127188751549,0.9991862533299487,0.99901242551516389,0.065045205304958609,925
0.9988846447969284,0.0050000000000000001,0.015938553636668875,1.0021727517557353,1.0020460003760474,0.066803183826714241,950
0.99882518695850531,0.0050000000000000001,0.013051794723641957,1.0041967685758011,1.0041119462851604,0.068561162348469887,975
0.99876418659910904,0.0050000000000000001,0.010192857421011052,1.0053610014290602,1.0053093299338458,0.070319140870225519,1000
0.99870164386012117,0.0050000000000000001,0.0075280879585007746,1.005795572028976,1.0057673988576006,0.072077119391981165,1025
0.99863755888649719,0.0050000000000000001,0.0051745647478048549,1.0056444400736824,1.005631127069355,0.073835097913736797,1050
0.9985719318267664,0.0050000000000000001,0.0032035567575290367,1.0050538894352246,1.0050487838373687,0.075593076435492429,1075
0.99850476283303158,0.0050000000000000001,0.0016461855742169,1.0041632863829237,1.0041619370362578,0.077351054957248075,1100
0.99843605206096908,0.0050000000000000001,0.00050045083987539075,1.0030981735000586,1.0030980486613013,0.079109033479003707,1125
0.99836579966982719,0.0050000000000000001,-0.00026114224646808023,1.0019656399138832,1.0019656058831385,0.080867012000759353,1150
0.998294005822428,0.0050000000000000001,-0.00068399582007557305,1.0008517989021919,1.0008515651761114,0.082624990522514985,1175
0.99822067068516362,0.0050000000000000001,-0.00082437383393993717,0.99982111244692928,0.99982077258996627,0.084382969044270631,1200
0.99814579442799889,0.0050000000000000001,-0.00074325142010404043,0.99891723480704564,0.99891695829627458,0.086140947566026263,1225
0.99806937722446964,0.0050000000000000001,-0.00050127084535932004,0.99816500842217415,0.99816488255497082,0.087898926087781895,1250
0.99799141925168167,0.0050000000000000001,-0.00015489023368868191,0.99757323721157598,0.9975732251869025,0.089656904609537541,1275
0.99791192069031187,0.0050000000000000001,0.00024629207459049492,0.99713788267614678,0.99713785225919649,0.091414883131293173,1300
0.99783088172460566,0.0050000000000000001,0.00066113275489777421,0.99684537185169264,0.99684515261178841,0.093172861653048819,1325
0.99774830254237845,0.0050000000000000001,0.0010576062629560222,0.99667576555552584,0.99667520442453383,0.094930840174804451,1350
0.99766418333501417,0.0050000000000000001,0.0014127123763422872,0.99660560219995498,0.99660460092259084,0.096688818696560097,1375
0.9975785242974653,0.0050000000000000001,0.0017118150911610331,0.99661029902583154,0.99660882888596325,0.098446797218315729,1400
0.99749132562825149,0.0050000000000000001,0.0019475930580364698,0.99666605287764698,0.9966641499722908,0.10020477574007136,1425
0.99740258752945932,0.0050000000000000001,0.0021187640842867559,0.99675123265239807,0.99674898075334395,0.10196275426182701,1450
0.9973123102067436,0.0050000000000000001,0.0022287215393770872,0.99684729347294954,0.99684480201516046,0.10372073278358264,1475
0.99722049386932343,0.0050000000000000001,0.0022841924613631825,0.99693926839688018,0.99693665161659406,0.10547871130533829,1500
0.99712713872998526,0.0050000000000000001,0.0022939987291212224,0.99701590826323916,0.99701326916937394,0.10723668982709392,1525
0.9970322450050787,0.0050000000000000001,0.0022679760093740585,0.99706954601307596,0.99706696659328875,0.10899466834884956,1550
0.99693581291451994,0.0050000000000000001,0.0022160817278858392,0.99709576067045158,0.99709329800614033,0.1107526468706052,1575
0.99683784268178732,0.0050000000000000001,0.0021477038154101638,0.99709291024664015,0.99709059720390281,0.11251062539236083,1600
0.99673833453392391,0.0050000000000000001,0.0020711666830369275,0.99706159396834337,0.99705944277924829,0.11426860391411647,1625
0.9966372887015349,0.0050000000000000001,0.0019934196492078066,0.99700409390456068,0.99700210107128484,0.11602658243587211,1650
0.99653470541878753,0.0050000000000000001,0.0019198854843012394,0.99692383537406626,0.99692198670541188,0.11778456095762775,1675
0.9964305849234113,0.0050000000000000001,0.0018544423350424267,0.9968248952155796,0.99682317025898681,0.11954253947938338,1700
0.9963249274566961,0.0050000000000000001,0.0017995104677198369,0.99671157757817741,0.99670995311597843,0.12130051800113903,1725
0.99621773326349228,0.0050000000000000001,0.0017562154651542738,0.99658806861321969,0.99658652118592661,0.12305849652289466,1750
0.99610900259221025,0.0050000000000000001,0.0017246012141516553,0.99645817444559437,0.99645668203394511,0.12481647504465029,1775
0.99599873569481945,0.0050000000000000001,0.0017038687803263778,0.99632514109747616,0.99632368415795736,0.12657445356640593,1800
0.99588693282684693,0.0050000000000000001,0.0016926207087417887,0.99619155059561371,0.99619011263575064,0.12833243208816159,1825
0.99577359424737943,0.0050000000000000001,0.0016890941021607128,0.99605928423956058,0.99605785207533992,0.13009041060991722,1850
0.9956587202190581,0.0050000000000000001,0.0016913697640076413,0.99592954184625559,0.99592810563334033,0.13184838913167285,1875
0.99554231100808344,0.0050000000000000001,0.0016975485517240346,0.995802904605123,0.99580145769571671,0.13360636765342848,1900
0.99542436688420921,0.0050000000000000001,0.0017058897123435612,0.99567942885678373,0.99567796751201665,0.13536434617518414,1925
0.9953048881207458,0.0050000000000000001,0.0017149092461695489,0.9955587585204464,0.99555728150270195,0.13712232469693977,1950
0.9951838749945574,0.0050000000000000001,0.0017234391774817971,0.99544024490837846,0.99543875298315265,0.13888030321869541,1975
0.99506132778606193,0.0050000000000000001,0.0017306509410636955,0.99532306414651472,0.9953215595320577,0.14063828174045104,2000
0.99493724677923034,0.0050000000000000001,0.0017360478819275469,0.99520632423416244,0.99520481004335204,0.14239626026220667,2025
0.99481163226158542,0.0050000000000000001,0.0017394330970189808,0.99508915579117763,0.99508763551041046,0.14415423878396233,2050
0.99468448452420155,0.0050000000000000001,0.0017408595272935278,0.99497078263104488,0.99496925967465955,0.14591221730571796,2075
0.99455580386170461,0.0050000000000000001,0.0017405693622860492,0.99485057034363167,0.99484904771093008,0.14767019582747359,2100
0.99442559057226876,0.0050000000000000001,0.0017389294932570792,0.99472805296302091,0.99472653301086733,0.14942817434922923,2125
0.9942938449576193,0.0050000000000000001,0.0017363690107088368,0.9946029394384045,0.99460142376842242,0.15118615287098486,2150
0.99416056732302793,0.0050000000000000001,0.0017333236708633141,0.99447510294147401,0.9944735923892134,0.15294413139274052,2175
0.99402575797731585,0.0050000000000000001,0.0017301909520958537,0.99434455697525015,0.99434305168064396,0.15470210991449615,2200
0.99388941723284974,0.0050000000000000001,0.0017272978956498267,0.99421142276496988,0.9942099222992723,0.15646008843625178,2225
0.99375154540554278,0.0050000000000000001,0.0017248824893199427,0.99407589250768924,0.99407439603148273,0.15821806695800741,2250
0.99361214281485355,0.0050000000000000001,0.0017230880196827175,0.99393819275945228,0.99393669918843552,0.15997604547976307,2275
0.99347120978378434,0.0050000000000000001,0.0017219686882153102,0.99379855160198172,0.99379705976121369,0.16173402400151871,2300
0.99332874663888182,0.0050000000000000001,0.0017215039401331966,0.99365717233540873,0.99365568108766134,0.16349200252327434,2325
0.99318475371023485,0.0050000000000000001,0.0017216184456807539,0.99351421538958007,0.99351272372884103,0.16524998104502997,2350
0.99303923133147409,0.0050000000000000001,0.001722204523166612,0.99336978904485229,0.99336829615132904,0.1670079595667856,2375
0.99289217983977174,0.0050000000000000001,0.0017231439875287945,0.99322394851517404,0.99322245377300622,0.16876593808854126,2400
0.99274359957583957,0.0050000000000000001,0.0017243269003777446,0.99307670207186749,0.99307520505482239,0.17052391661029689,2425
0.9925934908839289,0.0050000000000000001,0.001725665411402105,0.99292802225467558,0.99292652268809367,0.17228189513205253,2450
0.99244185411182906,0.0050000000000000001,0.0017271017209382054,0.99277785987639056,0.99277635758532823,0.17403987365380816,2475
0.99228868961086691,0.0050000000000000001,0.0017286100545525946,0.9926261584930347,0.99262465334683192,0.17579785217556379,2500
0.99213399773590683,0.0050000000000000001,0.001730193321146816,0.99247286726179318,0.99247135912424,0.17755583069731945,2525
0.99197777884534766,0.0050000000000000001,0.0017318757399414958,0.99231795059029659,0.99231643928242352,0.17931380921907508,2550
0.99182003330112312,0.0050000000000000001,0.0017336931073779981,0.99216139361536704,0.99215987889502799,0.18107178774083071,2575
0.99166076146870119,0.0050000000000000001,0.0017356825028362604,0.99200320324478608,0.99200168480409634,0.18282976626258635,2600
0.99149996371708282,0.0050000000000000001,0.0017378731066081913,0.99184340515783531,0.99184188263662021,0.18458774478434201,2625
0.99133764041880024,0.0050000000000000001,0.0017402794615149261,0.99168203770520269,0.99168051071629859,0.18634572330609764,2650
0.99117379194991673,0.0050000000000000001,0.001742898013502353,0.99151914401279306,0.99151761217356926,0.18810370182785327,2675
0.99100841869002632,0.0050000000000000001,0.0017457071957494071,0.9913547637414416,0.99135322670541415,0.1898616803496089,2700
0.9908415210222512,0.0050000000000000001,0.0017486707594844368,0.9911889258812534,0.99118738336411838,0.19161965887136453,2725
0.99067309933324166,0.0050000000000000001,0.0017517435807224253,0.99102164369145285,0.9910200954871381,0.19337763739312019,2750
0.99050315401317557,0.0050000000000000001,0.0017548788464082667,0.99085291248567819,0.99085135846986916,0.19513561591487583,2775
0.99033168545575578,0.0050000000000000001,0.0017580353826045765,0.99068271047687628,0.99068115059760975,0.19689359443663146,2800
