envelope,epsilon,fit_window_early,fit_window_late,local_slope,rms_envelope,time
0.0010645281009548191,0.0050000000000000001,0,0,-2.2522978432507011e-05,0.00038308587523797256,400
0.0010052030701597425,0.0050000000000000001,0,0,-4.7818944878486036e-05,0.00038308535215485169,425
0.00094929273094066543,0.0050000000000000001,0,0,-9.973550261577202e-05,0.00038308378286254469,450
0.00089749413622561118,0.0050000000000000001,0,0,-0.00015712147616397942,0.0003830811672321112,475
0.00085037734724341515,0.0050000000000000001,0,0,-0.00021998369221876146,0.00038307750504830196,500
0.00080835383918067595,0.0050000000000000001,0,0,-0.0002883299301288389,0.00038307279600907022,525
0.00077164872662441417,0.0050000000000000001,0,0,-0.00036216895153984296,0.0003830670397249531,550
0.0007402825908668061,0.0050000000000000001,0,0,-0.00044151052387064738,0.00038306023571837999,575
0.00071406881900214572,0.0050000000000000001,0,0,-0.00052636543752271336,0.00038305238342297137,600
0.0006926303073497282,0.0050000000000000001,0,0,-0.0006167455168935021,0.00038304348218289036,625
0.00067543529914627996,0.0050000000000000001,0,0,-0.00071266362529343041,0.00038303353125230123,650
0.00066184742589873893,0.0050000000000000001,0,0,-0.00081413366446270174,0.00038302252979497721,675
0.00065118170103606137,0.0050000000000000001,0,0,-0.00092117057000962177,0.00038301047688407984,700
0.00064275761642888047,0.0050000000000000001,0,0,-0.0010337903042199059,0.0003829973715021114,725
0.00063594250903127635,0.0050000000000000001,0,0,-0.0011520098483970287,0.00038298321254101955,750
0.00063018172285698288,0.0050000000000000001,0,0,-0.0012758471969220864,0.00038296799880241172,775
0.00062501531261658163,0.0050000000000000001,0,0,-0.0014053213551221688,0.0003829517289978221,800
0.00062008321311178842,0.0050000000000000001,0,0,-0.0015404523427662298,0.00038293440174895954,825
0.00061512176309191121,0.0050000000000000001,0,0,-0.0016812612050216558,0.0003829160155878644,850
0.00060995452007725742,0.0050000000000000001,0,0,-0.0018277700299336175,0.00038289656895690684,875
0.00060447985373424486,0.0050000000000000001,0,0,-0.0019800019742604036,0.00038287606020856956,900
0.00059865719638470055,0.0050000000000000001,0,0,-0.002137981293969915,0.00038285448760498175,925
0.0005924932557576988,0.0050000000000000001,0,0,-0.0023017333791131023,0.00038283184931719246,950
