B,B_fd,V,V_fd,theta
0.11239435444575037,0.11239447855970752,0.22280769335858489,0.2228077008703977,0
0.1093931547883838,0.10939326205772204,0.22173714818330004,0.221737154960433,0.098174770424681035
0.10084646125825177,0.10084652936726002,0.21868849345585178,0.21868849829846937,0.19634954084936207
0.088055430469317617,0.088055424338762123,0.2141258592223802,0.21412586184403892,0.2945243112740431
0.072967380908238039,0.072967291337988627,0.20874386518454346,0.20874386592630856,0.39269908169872414
0.057879331347110131,0.057879158248397289,0.20336187114671214,0.20336187075900014,0.49087385212340517
0.045088300558174074,0.045088067324172698,0.19879923691323592,0.19879923607266647,0.58904862254808621
0.036541607028030249,0.036541323851224661,0.19575058218577762,0.19575058122969224,0.68722339297276724
0.033540407370695573,0.033540115111918567,0.19468003701049569,0.19468003608800188,0.78539816339744828
0.036541607028035966,0.036541331986938985,0.19575058218579766,0.19575058124194911,0.88357293382212931
0.045088300558203669,0.045088072297971848,0.19879923691324949,0.19879923605818917,0.98174770424681035
0.057879331347099182,0.057879162138618767,0.2033618711467105,0.20336187076743784,1.0799224746714913
0.072967380908194476,0.072967291497860742,0.20874386518453675,0.20874386593128236,1.1780972450961724
0.088055430469303975,0.088055415261578673,0.21412585922238117,0.21412586184439419,1.2762720155208536
0.10084646125822652,0.10084652648956194,0.21868849345585667,0.21868849829473902,1.3744467859455345
0.10939315478840943,0.10939327548697975,0.2217371481833047,0.22173715495537039,1.4726215563702154
0.11239435444570395,0.11239448435063082,0.22280769335860293,0.22280770093052737,1.5707963267948966
0.10939315478841927,0.10939326822168027,0.22173714818330334,0.22173715493822854,1.6689710972195777
0.10084646125826026,0.10084652535269356,0.21868849345584304,0.21868849833044379,1.7671458676442586
0.088055430469339127,0.088055418974164468,0.21412585922238658,0.21412586181490667,1.8653206380689396
0.072967380908219456,0.072967287270131465,0.20874386518454568,0.2087438659354568,1.9634954084936207
0.057879331347093721,0.057879161712293126,0.20336187114670709,0.2033618707637963,2.0616701789183018
0.045088300558141489,0.045088078657329334,0.19879923691322543,0.19879923606245242,2.1598449493429825
0.036541607028047832,0.036541329961892188,0.19575058218579033,0.19575058122285327,2.2580197197676637
0.033540407370690563,0.033540120067954149,0.19468003701049968,0.19468003607938655,2.3561944901923448
0.036541607028029735,0.036541323851224661,0.19575058218577779,0.19575058122969224,2.454369260617026
0.045088300558157948,0.045088065245835196,0.19879923691325177,0.19879923605579108,2.5525440310417071
0.057879331347141461,0.057879159687246329,0.20336187114670787,0.20336187076512857,2.6507188014663878
0.072967380908226354,0.072967291391279332,0.20874386518454913,0.20874386590605809,2.748893571891069
0.08805543046932332,0.08805542304202163,0.21412585922238012,0.21412586181543958,2.8470683423157501
0.10084646125827629,0.10084651867359185,0.21868849345585406,0.21868849833124315,2.9452431127404308
0.10939315478840567,0.10939326491765655,0.22173714818329976,0.2217371549235736,3.043417883165112
0.112394354445759,0.11239448296507248,0.22280769335858744,0.22280770086933188,3.1415926535897931
0.1093931547884144,0.1093932647222573,0.22173714818330503,0.22173715495359403,3.2397674240144743
0.10084646125827215,0.10084652529940286,0.21868849345584876,0.2186884982906534,3.3379421944391554
0.088055430469327539,0.088055423859145776,0.21412585922238025,0.21412586183124915,3.4361169648638361
0.07296738090823035,0.072967291444570037,0.20874386518455459,0.208743865906591,3.5342917352885173
0.057879331347110131,0.057879158248397289,0.20336187114671214,0.20336187075900014,3.6324665057131984
0.045088300558175191,0.045088067732734771,0.19879923691324713,0.19879923608394634,3.7306412761378791
0.036541607028041413,0.036541338523932154,0.1957505821857774,0.19575058123191269,3.8288160465625602
0.033540407370703872,0.033540120139008422,0.19468003701048844,0.1946800360611789,3.9269908169872414
0.036541607028009709,0.036541327972372528,0.19575058218578847,0.19575058125083089,4.0251655874119221
0.045088300558198693,0.045088063842513293,0.19879923691323104,0.19879923606467287,4.1233403578366037
0.057879331347100875,0.057879162600471545,0.20336187114670781,0.20336187079541546,4.2215151282612844
0.072967380908204038,0.072967296986803376,0.20874386518454074,0.20874386595153283,4.3196898986859651
0.088055430469320572,0.088055430680356039,0.21412585922237182,0.21412586181446258,4.4178646691106467
0.10084646125826631,0.10084653448316772,0.218688493455856,0.21868849827848535,4.5160394395353274
0.10939315478841345,0.10939327166781254,0.2217371481833022,0.22173715495252821,4.614214209960009
0.11239435444573778,0.11239448443944866,0.2228076933585838,0.22280770088638491,4.7123889803846897
0.10939315478840955,0.10939326530845506,0.22173714818330309,0.22173715496087709,4.8105637508093704
0.10084646125826417,0.10084652616981771,0.21868849345585373,0.21868849831436776,4.908738521234052
0.08805543046930156,0.088055422615695988,0.21412585922239102,0.21412586184874627,5.0069132916587327
0.072967380908242896,0.072967290059011702,0.20874386518453553,0.20874386594078587,5.1050880620834143
0.057879331347097086,0.057879170043406702,0.20336187114670745,0.20336187073874967,5.203262832508095
0.045088300558183816,0.045088071320975587,0.19879923691323689,0.19879923607000194,5.3014376029327757
0.036541607028003457,0.036541328078953939,0.19575058218579411,0.19575058124425837,5.3996123733574573
0.033540407370698799,0.033540116017860555,0.19468003701050049,0.19468003605496165,5.497787143782138
0.036541607028040567,0.036541332661954584,0.19575058218578875,0.19575058123066924,5.5959619142068187
0.045088300558174067,0.045088067324172698,0.19879923691323656,0.19879923607266647,5.6941366846315002
0.057879331347092118,0.057879164696572616,0.2033618711467077,0.20336187077329981,5.7923114550561809
0.072967380908246629,0.072967291959713521,0.20874386518454366,0.20874386591573924,5.8904862254808616
0.088055430469317589,0.088055414888543737,0.21412585922238547,0.21412586183107152,5.9886609959055432
0.10084646125826018,0.10084652284803042,0.21868849345585059,0.21868849831099268,6.0868357663302239
0.10939315478840796,0.10939326116954362,0.22173714818329618,0.22173715493680746,6.1850105367549055
