V_minus_V0,fourfold_reconstruction,theta
0.014063828174040227,0.014063828174045112,0
0.012993282998755379,0.012993282998755851,0.098174770424681035
0.0099446282713071266,0.0099446282713097078,0.19634954084936207
0.0053819940378355413,0.0053819940378364295,0.2945243112740431
-1.1934897514720433e-15,0,0.39269908169872414
-0.005381994037832516,-0.0053819940378364295,0.49087385212340517
-0.0099446282713087364,-0.0099446282713097078,0.58904862254808621
-0.012993282998767036,-0.012993282998755851,0.68722339297276724
-0.01406382817404897,-0.014063828174045112,0.78539816339744828
-0.012993282998746997,-0.012993282998755851,0.88357293382212931
-0.0099446282712951639,-0.0099446282713097078,0.98174770424681035
-0.0053819940378341535,-0.0053819940378364295,1.0799224746714913
-7.9103390504542404e-15,0,1.1780972450961724
0.0053819940378365128,0.0053819940378364295,1.2762720155208536
0.0099446282713120115,0.0099446282713097078,1.3744467859455345
0.012993282998760042,0.012993282998755851,1.4726215563702154
0.014063828174058268,0.014063828174045112,1.5707963267948966
0.012993282998758682,0.012993282998755851,1.6689710972195777
0.0099446282712983836,0.0099446282713097078,1.7671458676442586
0.0053819940378419251,0.0053819940378364295,1.8653206380689396
1.0269562977782698e-15,0,1.9634954084936207
-0.0053819940378375675,-0.0053819940378364295,2.0616701789183018
-0.009944628271319228,-0.0099446282713097078,2.1598449493429825
-0.012993282998754324,-0.012993282998755851,2.2580197197676637
-0.014063828174044973,-0.014063828174045112,2.3561944901923448
-0.01299328299876687,-0.012993282998755851,2.454369260617026
-0.009944628271292888,-0.0099446282713097078,2.5525440310417071
-0.0053819940378367903,-0.0053819940378364572,2.6507188014663878
4.4686476741162551e-15,0,2.748893571891069
0.005381994037835458,0.0053819940378364295,2.8470683423157501
0.0099446282713094025,0.0099446282713097078,2.9452431127404308
0.012993282998755101,0.012993282998755851,3.043417883165112
0.014063828174042781,0.014063828174045112,3.1415926535897931
0.012993282998760375,0.012993282998755851,3.2397674240144743
0.0099446282713041012,0.0099446282713097078,3.3379421944391554
0.0053819940378355968,0.0053819940378364572,3.4361169648638361
9.936496070395151e-15,0,3.5342917352885173
-0.005381994037832516,-0.0053819940378364295,3.6324665057131984
-0.0099446282712975231,-0.0099446282713097078,3.7306412761378791
-0.012993282998767258,-0.012993282998755851,3.8288160465625602
-0.014063828174056214,-0.014063828174045112,3.9269908169872414
-0.012993282998756184,-0.012993282998755878,4.0251655874119221
-0.0099446282713136214,-0.0099446282713097078,4.1233403578366037
-0.0053819940378368458,-0.0053819940378364572,4.2215151282612844
-3.9135361618036768e-15,-2.7755575615628914e-17,4.3196898986859651
0.0053819940378271591,0.0053819940378364295,4.4178646691106467
0.0099446282713113454,0.0099446282713097078,4.5160394395353274
0.012993282998757544,0.012993282998755851,4.614214209960009
0.014063828174039145,0.014063828174045112,4.7123889803846897
0.012993282998758432,0.012993282998755878,4.8105637508093704
0.0099446282713090695,0.0099446282713097078,4.908738521234052
0.005381994037846366,0.0053819940378364572,5.0069132916587327
-9.1315843775419125e-15,0,5.1050880620834143
-0.0053819940378372066,-0.0053819940378364295,5.203262832508095
-0.0099446282713077649,-0.0099446282713097078,5.3014376029327757
-0.012993282998750549,-0.012993282998755851,5.3996123733574573
-0.014063828174044168,-0.014063828174045112,5.497787143782138
-0.012993282998755906,-0.012993282998755878,5.5959619142068187
-0.009944628271308098,-0.0099446282713097078,5.6941366846315002
-0.0053819940378369568,-0.0053819940378364572,5.7923114550561809
-9.9920072216264089e-16,-2.7755575615628914e-17,5.8904862254808616
0.0053819940378408149,0.0053819940378364295,5.9886609959055432
0.0099446282713059331,0.0099446282713097078,6.0868357663302239
0.012993282998751521,0.012993282998755851,6.1850105367549055
0.014063828174040227,0.014063828174045112,6.2831853071795862
