harmonic_amplitude,harmonic_order,is_m4
0.20874386518454466,0,0
1.004854225716886e-15,1,0
4.327399070864325e-16,2,0
2.2780340066835977e-15,3,0
0.014063828174045103,4,1
6.6361622817367214e-16,5,0
1.9219841162296284e-15,6,0
1.5447922003759358e-15,7,0
1.2050523549074438e-15,8,0
8.9102146845440254e-16,9,0
1.8342310845254888e-15,10,0
2.3344741801896704e-15,11,0
2.4968159130742601e-15,12,0
1.0337791985095885e-15,13,0
2.8812294682107603e-15,14,0
1.3661222723475071e-16,15,0
1.1948203092001068e-15,16,0
