eigen_residual,eigengap,polynomial_order
3.2164303495478474e-14,0.22667914883103105,10
6.7597678540869516e-14,0.22667914978780854,12
9.4680986517138996e-14,0.22667914978804107,14
1.6466717081662163e-13,0.2266791497880806,16
2.5382210704946524e-13,0.22667914978801454,18
