curvature_error,eigen_residual,eigengap,hermitian_residual,kappa0_error,mass_orthogonality,omega0_error,polynomial_order
6.309875292355577e-10,3.2164303495478474e-14,0.22667914883103105,4.7584115420349131e-17,2.2353619270137695e-10,2.0347405018796811e-15,1.2576324793808332e-11,10
9.3085763460678098e-12,6.7597678540869516e-14,0.22667914978780854,3.0303831476712659e-17,5.8930378667352625e-14,2.2163386180886357e-15,4.0799864982389588e-14,12
2.2569332102206024e-11,9.4680986517138996e-14,0.22667914978804107,3.7513338905450811e-17,2.3944258181929418e-14,1.9633712557210981e-15,6.2601319553132116e-14,14
2.3836448722906434e-11,1.6466717081662163e-13,0.2266791497880806,2.3041489558850358e-17,5.8242790172265199e-14,2.0350339189756546e-15,2.0711381842205401e-14,16
5.8585498726372008e-11,2.5382210704946524e-13,0.22667914978801454,2.1698591923605906e-17,6.2206535614537002e-14,1.6108782294304588e-15,4.3602909141485054e-15,18
