annulus_center_kappa,annulus_half_width,boundary_is_noncritical,boundary_resolution_ratio,coarse_boundary_nodes,fine_boundary_nodes,gradient_residual,index_closes,kind,maximum_boundary_gradient_uncertainty,minimum_boundary_gradient,point_number,tracking_gap
0.86250000000000004,0.12937499999999999,1,140401991003.90967,16,32,7.030448094846625e-14,1,minimum,4.3754319862610016e-13,0.061431936237323577,1,0.13224065160258594
0.86250000000000004,0.12937499999999999,1,140401991003.90967,16,32,6.1663629557450057e-14,1,saddle,4.3754319862610016e-13,0.061431936237323577,2,0.14551537761503494
0.86250000000000004,0.12937499999999999,1,140401991003.90967,16,32,2.9782904751250455e-14,1,minimum,4.3754319862610016e-13,0.061431936237323577,3,0.13224065160265797
0.86250000000000004,0.12937499999999999,1,140401991003.90967,16,32,2.8690915273373507e-14,1,saddle,4.3754319862610016e-13,0.061431936237323577,4,0.14551537761516498
0.86250000000000004,0.12937499999999999,1,140401991003.90967,16,32,3.803749450243004e-14,1,minimum,4.3754319862610016e-13,0.061431936237323577,5,0.13224065160262025
0.86250000000000004,0.12937499999999999,1,140401991003.90967,16,32,1.511538597547234e-14,1,saddle,4.3754319862610016e-13,0.061431936237323577,6,0.14551537761520403
0.86250000000000004,0.12937499999999999,1,140401991003.90967,16,32,3.7118971091332075e-14,1,minimum,4.3754319862610016e-13,0.061431936237323577,7,0.13224065160270471
0.86250000000000004,0.12937499999999999,1,140401991003.90967,16,32,2.8895586037044411e-14,1,saddle,4.3754319862610016e-13,0.061431936237323577,8,0.14551537761521269
