artifact_row,hessian_eigenvalue_1,hessian_eigenvalue_2,hessian_uncertainty_upper_bound,kind,minimum_hessian_to_uncertainty,morse_index,point_number,theta
0,-0.0069627094659176483,1.1923929131210265,1.1681216442949435e-06,saddle,5960.6030758211064,-1,1,0
1,0.0069399302905276761,1.1912865871028888,1.1643000217006836e-06,minimum,5960.6030758211064,1,2,0.78539816343820701
2,-0.0069627097338450647,1.1923929133758318,1.1681216892446596e-06,saddle,5960.6030758211064,-1,3,1.5707963268032483
3,0.0069399305734987428,1.1912865869915763,1.1643000691742469e-06,minimum,5960.6030758211064,1,4,2.3561944901978973
4,-0.0069627096344690477,1.1923929132708684,1.1681216725725182e-06,saddle,5960.6030758211064,-1,5,3.1415926535979573
5,0.0069399301973446731,1.1912865870852491,1.1643000060675336e-06,minimum,5960.6030758211064,1,6,3.9269908169737144
6,-0.0069627096656662479,1.1923929131753763,1.1681216778064182e-06,saddle,5960.6030758211064,-1,7,4.7123889803843211
7,0.0069399300816434736,1.1912865869776454,1.1642999866565447e-06,minimum,5960.6030758211064,1,8,5.4977871437814079
