annulus_fraction,annulus_inner_kx,annulus_inner_ky,annulus_outer_kx,annulus_outer_ky,kx,ky,omega_aniso
0.14999999999999999,0.68358472146579041,0,0.92484991727724575,0,-0.92484991727724575,-0.92484991727724575,3.0436296196253578
0.14999999999999999,0.68355510648829532,0.0063630036333086476,0.92480984995475235,0.0086087696215352283,-0.8508619238950661,-0.92484991727724575,3.0047821007349409
0.14999999999999999,0.68346626412183253,0.012725455937122985,0.92468965145894988,0.017216793326695803,-0.77687393051288645,-0.92484991727724575,2.972217362271496
0.14999999999999999,0.68331820206424732,0.019086805629719258,0.92448933220456986,0.025823325263737817,-0.70288593713070679,-0.92484991727724575,2.9454512367651819
0.14999999999999999,0.68311093314454052,0.025446501524910684,0.92420890954849599,0.034427619710173274,-0.62889794374852714,-0.92484991727724575,2.9238983221958423
0.14999999999999999,0.68284447532175729,0.031803992579805589,0.92384840778825972,0.04302893113738402,-0.55490995036634749,-0.92484991727724575,2.9069183291482847
0.14999999999999999,0.68251885168343041,0.038158727942553101,0.9234078581599352,0.051626514275218895,-0.48092195698416773,-0.92484991727724575,2.8938554703912103
0.14999999999999999,0.68213409044358064,0.044510157000072402,0.92288729883543263,0.060219624176568544,-0.40693396360198808,-0.92484991727724575,2.8840695717044444
0.14999999999999999,0.68169022494027176,0.050857729425761083,0.9222867749191912,0.068807516281912048,-0.33294597021980843,-0.92484991727724575,2.8769604980425809
0.14999999999999999,0.68118729363272157,0.057200895227178923,0.9216063384442702,0.07738944648383031,-0.25895797683762878,-0.92484991727724575,2.8719884944788734
0.14999999999999999,0.68062534009796993,0.063539104793702533,0.92084604836784156,0.08596467119147988,-0.18496998345544913,-0.92484991727724575,2.8686925602168034
0.14999999999999999,0.68000441302710302,0.069871808944146935,0.92000597056608047,0.094532447395022312,-0.11098199007326948,-0.92484991727724575,2.8667076811004151
0.14999999999999999,0.67932456622103443,0.07619845897435007,0.91908617782845814,0.10309203273000302,-0.036993996691089714,-0.92484991727724575,2.8657802924348768
0.14999999999999999,0.6785858585858433,0.082518506704715819,0.9180867498514349,0.11164268554167434,0.036993996691089936,-0.92484991727724575,2.8657802924348732
0.14999999999999999,0.67778835412767036,0.088831404527711669,0.91700777323155391,0.12018366494925695,0.11098199007326959,-0.92484991727724575,2.8667076811002712
0.14999999999999999,0.67693212194717256,0.095136605455316658,0.91584934145793928,0.12871423091013429,0.18496998345544924,-0.92484991727724575,2.868692560216858
0.14999999999999999,0.67601723623353493,0.10143356316641595,0.91461155490419421,0.13723364428397453,0.25895797683762889,-0.92484991727724575,2.8719884944789253
0.14999999999999999,0.67504377625804302,0.10772173205413728,0.91329452081970519,0.14574116689677397,0.33294597021980854,-0.92484991727724575,2.8769604980423344
0.14999999999999999,0.67401182636721435,0.11400056727312571,0.91189835332034863,0.15423606160481712,0.40693396360198819,-0.92484991727724575,2.8840695717049756
0.14999999999999999,0.67292147597548935,0.12026952478675239,0.91042317337860312,0.16271759235854732,0.48092195698416784,-0.92484991727724575,2.8938554703915202
0.14999999999999999,0.67177281955748502,0.12652806141425316,0.90886910881306782,0.17118502426634247,0.55490995036634749,-0.92484991727724575,2.9069183291482847
0.14999999999999999,0.67056595663980822,0.13277563487779306,0.9072362942773875,0.17963762365819058,0.62889794374852714,-0.92484991727724575,2.9238983221958423
0.14999999999999999,0.66930099179243285,0.13901170384945263,0.90552487124858561,0.18807465814925944,0.70288593713070679,-0.92484991727724575,2.9454512367651819
0.14999999999999999,0.66797803461963845,0.14523572799813192,0.90373498801480479,0.19649539670335495,0.77687393051288645,-0.92484991727724575,2.972217362271496
0.14999999999999999,0.66659719975051379,0.15144716803636787,0.90186679966245975,0.20489910969626238,0.85086192389506632,-0.92484991727724575,3.0047821007346736
0.14999999999999999,0.66515860682902495,0.15764548576706169,0.89992046806279835,0.21328506897896579,0.92484991727724575,-0.92484991727724575,3.0436296196253578
0.14999999999999999,0.66366238050364823,0.1638301441301114,0.89789616185787691,0.22165254794073894,-0.92484991727724575,-0.8508619238950661,3.0047821007348485
0.14999999999999999,0.66210865041657008,0.17000060724894611,0.89579405644594767,0.23000082157210353,-0.8508619238950661,-0.8508619238950661,2.9693639180208211
0.14999999999999999,0.66049755119245412,0.17615634047695752,0.89361433396626133,0.23832916652764841,-0.77687393051288645,-0.8508619238950661,2.9403445570412323
0.14999999999999999,0.658829222426776,0.18229681044382506,0.89135718328328517,0.24663686118870448,-0.70288593713070679,-0.8508619238950661,2.9171275110778399
0.14999999999999999,0.65710380867372908,0.18842148510173035,0.88902279997033917,0.25492318572587042,-0.62889794374852714,-0.8508619238950661,2.8990327728497984
0.14999999999999999,0.65532145943369779,0.19452983377145699,0.88661138629264979,0.26318742216138297,-0.55490995036634749,-0.8508619238950661,2.8853427946515273
0.14999999999999999,0.65348232914030546,0.20062132718837189,0.88412315118982499,0.27142885443132664,-0.48092195698416773,-0.8508619238950661,2.875337387351228
0.14999999999999999,0.6515865771470325,0.20669543754828404,0.88155831025774967,0.27964676844767838,-0.40693396360198808,-0.8508619238950661,2.8683191993516894
0.14999999999999999,0.64963436771340899,0.21275163855317672,0.87891708572990623,0.28784045216018023,-0.33294597021980843,-0.8508619238950661,2.8636336726930951
0.14999999999999999,0.64762586999078287,0.21878940545680892,0.87619970645811784,0.29600919561803557,-0.25895797683762878,-0.8508619238950661,2.8606874431112801
0.14999999999999999,0.64556125800766273,0.22480821511018287,0.87340640789272006,0.30415229103142383,-0.18496998345544913,-0.8508619238950661,2.8589677867397536
