artifact_row,gradient_residual,gradient_residual_over_uncertainty,gradient_uncertainty_bound,hessian_eigenvalue_1,hessian_eigenvalue_2,kappa,kind,kx,kx_pred,ky,ky_pred,morse_index,negative_boundary_resolution_ratio,omega,omega_pred,positive_boundary_resolution_ratio,theta
0,2.0448263970986361e-13,0.00062172642116248918,3.2889488487159167e-10,-0.0069627094659176483,1.1923929131210265,0.80233401505577007,saddle,0.80233401505577007,0.80233916990473098,-1.2592406692298433e-11,0,-1,409781448.06149268,2.8562076459694219,2.8562149288272618,382981223.65103018,0
1,1.841664961246544e-13,0.0005599554891118399,3.2889488487159167e-10,0.0069399302905276761,1.1912865871028888,0.8036463942022618,minimum,0.56826381499337497,0.56827120643986606,0.56826381503969836,0.56827120648619012,1,409781448.06149268,2.8556473767652877,2.8556523757003087,382981223.65103018,0.78539816343820701
2,1.9013721358239813e-14,5.781093666343646e-05,3.2889488487159167e-10,-0.0069627097338450647,1.1923929133758318,0.80233401505572732,saddle,-6.7008078494601608e-12,-6.7008980452884406e-12,0.80233401505572732,0.80233916990473597,-1,409781448.06149268,2.8562076459690675,2.8562149288272605,382981223.65103018,1.5707963268032483
3,5.1040373816803834e-14,0.00015518749656666506,3.2889488487159167e-10,0.0069399305734987428,1.1912865869915763,0.80364639420219808,minimum,-0.56826381501964696,-0.56827120646619611,0.56826381501333634,0.5682712064598856,1,409781448.06149268,2.8556473767656771,2.8556523757003012,382981223.65103018,2.3561944901978973
4,2.0959264349304422e-14,6.372633115740737e-05,3.2889488487159167e-10,-0.0069627096344690477,1.1923929132708684,0.8023340150556878,saddle,-0.8023340150556878,-0.80233916990473497,-6.5502878738578638e-12,-6.5503078702058391e-12,-1,409781448.06149268,2.85620764596923,2.85621492882726,382981223.65103018,3.1415926535979573
5,1.0575572914819583e-14,3.2154871970564503e-05,3.2889488487159167e-10,0.0069399301973446731,1.1912865870852491,0.80364639420221173,minimum,-0.56826381502418799,-0.56827120647072493,-0.56826381500881451,-0.56827120645535079,1,409781448.06149268,2.8556473767652846,2.8556523757003029,382981223.65103018,3.9269908169737144
6,6.3626466121881542e-15,1.9345532280540884e-05,3.2889488487159167e-10,-0.0069627096656662479,1.1923929131753763,0.80233401505568158,saddle,-2.9580055364779776e-13,-2.9588482675007836e-13,-0.80233401505568158,-0.80233916990473131,-1,409781448.06149268,2.8562076459693122,2.8562149288272618,382981223.65103018,4.7123889803843211
7,2.7798268525728444e-14,8.4520221518743124e-05,3.2889488487159167e-10,0.0069399300816434736,1.1912865869776454,0.80364639420221617,minimum,0.56826381501608947,0.56827120646262752,-0.56826381501691925,-0.56827120646345752,1,409781448.06149268,2.8556473767653467,2.8556523757003003,382981223.65103018,5.4977871437814079
