order,elements,k_zgv,omega_zgv,curvature,relative_k_error,relative_omega_error,relative_curvature_error,maximum_eigen_residual,hermitian_defect,mass_orthogonality_defect,rotational_frequency_defect,minimum_relative_eigengap
12,1,0.804217319371474,2.8517587749600946,1.1968627250971984,5.480590011672869e-14,1.5572467550530377e-15,1.9441056778889723e-11,1.289664476578666e-13,3.0354375678465027e-17,5.863156142013524e-15,2.117855586872128e-14,0.22289169323487085
16,1,0.8042173193715055,2.851758774960448,1.196862725118856,1.5599664264963076e-14,1.2551408845727483e-13,3.753633552460803e-11,2.4516123405057086e-13,2.3071944362163334e-17,3.1323938000917513e-15,1.8920548073892032e-13,0.22289169323517216
20,1,0.8042173193714981,2.8517587749595963,1.196862724938896,2.4849022722950036e-14,1.731658391618978e-13,1.1282347023612711e-10,7.460993831790474e-13,2.760720838790197e-17,2.9202616464080867e-15,3.263989198591732e-13,0.22289169323588673
24,1,0.8042173193716591,2.8517587749619437,1.1968627251493966,1.7532366032303635e-13,6.499947955591379e-13,6.305361537248455e-11,1.8872839014191413e-12,3.5451403582246376e-17,3.4032485130993273e-15,9.798196582787343e-13,0.2228916932360687
28,1,0.8042173193715313,2.8517587749662043,1.1968627251769854,1.6427965022394745e-14,2.1440173323570224e-12,8.610456310387626e-11,4.6854722498402175e-12,1.5790533864987406e-17,3.0987415415152255e-15,5.029907018810527e-13,0.22289169323371952
28,2,0.8042173193726854,2.8517587749585696,1.1968627265407565,1.4514590272727593e-12,5.332012889301601e-13,1.22555946255202e-09,8.997834798458496e-12,1.5422059067705488e-17,3.5196868002431447e-15,1.8434687086327688e-12,0.2228916932299347
