branch_label,kappa,omega,zgv_kappa0,zgv_omega0
selected symmetric ZGV branch,0.64337385549721449,2.8662147617658666,0.80421731937151808,2.8517587749600901
selected symmetric ZGV branch,0.64739494209407211,2.8655236114883076,0.80421731937151808,2.8517587749600901
selected symmetric ZGV branch,0.65141602869092963,2.8648483254644401,0.80421731937151808,2.8517587749600901
selected symmetric ZGV branch,0.65543711528778725,2.8641889800550655,0.80421731937151808,2.8517587749600901
selected symmetric ZGV branch,0.65945820188464488,2.8635456522629839,0.80421731937151808,2.8517587749600901
selected symmetric ZGV branch,0.66347928848150239,2.8629184197374751,0.80421731937151808,2.8517587749600901
selected symmetric ZGV branch,0.66750037507836002,2.8623073607800484,0.80421731937151808,2.8517587749600901
selected symmetric ZGV branch,0.67152146167521765,2.8617125543472395,0.80421731937151808,2.8517587749600901
selected symmetric ZGV branch,0.67554254827207516,2.8611340800581155,0.80421731937151808,2.8517587749600901
selected symmetric ZGV branch,0.67956363486893279,2.8605720181966241,0.80421731937151808,2.8517587749600901
selected symmetric ZGV branch,0.68358472146579041,2.86002644971706,0.80421731937151808,2.8517587749600901
selected symmetric ZGV branch,0.68760580806264793,2.8594974562460522,0.80421731937151808,2.8517587749600901
selected symmetric ZGV branch,0.69162689465950555,2.85898512009258,0.80421731937151808,2.8517587749600901
selected symmetric ZGV branch,0.69564798125636318,2.8584895242443671,0.80421731937151808,2.8517587749600901
selected symmetric ZGV branch,0.69966906785322069,2.8580107523779787,0.80421731937151808,2.8517587749600901
selected symmetric ZGV branch,0.70369015445007832,2.8575488888591964,0.80421731937151808,2.8517587749600901
selected symmetric ZGV branch,0.70771124104693595,2.8571040187490202,0.80421731937151808,2.8517587749600901
selected symmetric ZGV branch,0.71173232764379346,2.8566762278066724,0.80421731937151808,2.8517587749600901
selected symmetric ZGV branch,0.71575341424065109,2.856265602488842,0.80421731937151808,2.8517587749600901
selected symmetric ZGV branch,0.71977450083750871,2.8558722299617703,0.80421731937151808,2.8517587749600901
selected symmetric ZGV branch,0.72379558743436623,2.8554961980942517,0.80421731937151808,2.8517587749600901
selected symmetric ZGV branch,0.72781667403122385,2.8551375954686997,0.80421731937151808,2.8517587749600901
selected symmetric ZGV branch,0.73183776062808148,2.8547965113771818,0.80421731937151808,2.8517587749600901
selected symmetric ZGV branch,0.73585884722493899,2.8544730358302313,0.80421731937151808,2.8517587749600901
selected symmetric ZGV branch,0.73987993382179662,2.8541672595541359,0.80421731937151808,2.8517587749600901
selected symmetric ZGV branch,0.74390102041865425,2.8538792739943579,0.80421731937151808,2.8517587749600901
selected symmetric ZGV branch,0.74792210701551176,2.8536091713193481,0.80421731937151808,2.8517587749600901
selected symmetric ZGV branch,0.75194319361236939,2.8533570444184631,0.80421731937151808,2.8517587749600901
selected symmetric ZGV branch,0.75596428020922701,2.8531229869047783,0.80421731937151808,2.8517587749600901
selected symmetric ZGV branch,0.75998536680608453,2.8529070931205194,0.80421731937151808,2.8517587749600901
selected symmetric ZGV branch,0.76400645340294215,2.8527094581278605,0.80421731937151808,2.8517587749600901
selected symmetric ZGV branch,0.76802753999979978,2.8525301777200207,0.80421731937151808,2.8517587749600901
selected symmetric ZGV branch,0.77204862659665729,2.8523693484138475,0.80421731937151808,2.8517587749600901
selected symmetric ZGV branch,0.77606971319351492,2.8522270674528971,0.80421731937151808,2.8517587749600901
selected symmetric ZGV branch,0.78009079979037255,2.8521034328068335,0.80421731937151808,2.8517587749600901
selected symmetric ZGV branch,0.78411188638723006,2.8519985431704873,0.80421731937151808,2.8517587749600901
selected symmetric ZGV branch,0.78813297298408769,2.8519124979604253,0.80421731937151808,2.8517587749600901
selected symmetric ZGV branch,0.79215405958094531,2.8518453973163562,0.80421731937151808,2.8517587749600901
selected symmetric ZGV branch,0.79617514617780283,2.851797342098636,0.80421731937151808,2.8517587749600901
selected symmetric ZGV branch,0.80019623277466045,2.851768433882568,0.80421731937151808,2.8517587749600901
selected symmetric ZGV branch,0.80421731937151808,2.8517587749598441,0.80421731937151808,2.8517587749600901
selected symmetric ZGV branch,0.8082384059683756,2.8517684683348299,0.80421731937151808,2.8517587749600901
selected symmetric ZGV branch,0.81225949256523322,2.8517976177173248,0.80421731937151808,2.8517587749600901
selected symmetric ZGV branch,0.81628057916209085,2.8518463275216126,0.80421731937151808,2.8517587749600901
selected symmetric ZGV branch,0.82030166575894847,2.8519147028612464,0.80421731937151808,2.8517587749600901
selected symmetric ZGV branch,0.82432275235580599,2.8520028495429535,0.80421731937151808,2.8517587749600901
