squared_displacement_proxy_normalized,u_x_magnitude_normalized,u_y_magnitude_normalized,u_z_magnitude_normalized,z_over_h
1,1,1.413467367285302e-14,0.66729785051104884,-1
0.98652939290038488,0.98325247739883015,1.5942856410094128e-14,0.67751907829819302,-0.97313217663141827
0.93036822735937741,0.92721931670982471,2.0278958506568975e-14,0.69635688014733055,-0.91087999591557356
0.79144494794994946,0.79966093597973498,4.1196930335589609e-14,0.71021618113354967,-0.81569625122177025
0.56308658141557844,0.57280108061384283,6.9063894746051245e-14,0.69693637599275104,-0.6910289806276847
0.31800651327219659,0.25162800606657842,9.3685168705263928e-14,0.62951873846547401,-0.54138539933010155
0.17151600777259704,0.10455840013586289,1.0755433557179087e-13,0.48678259832267706,-0.37217443356547697
0.15495938804956599,0.39020861355538577,1.075151653572972e-13,0.26776470511936828,-0.18951197351831739
0.17312339851888855,0.50021285178219987,9.7744900287031619e-14,1.230256166811965e-14,0
0.15495938804964454,0.39020861355551062,5.9014385727342268e-14,0.26776470511939832,0.18951197351831739
0.17151600777266204,0.10455840013606883,4.5413201403252467e-15,0.48678259832272935,0.37217443356547697
0.31800651327218882,0.25162800606633268,2.7681580560880569e-14,0.62951873846556328,0.54138539933010155
0.56308658141550916,0.57280108061360491,4.6352373422744508e-14,0.69693637599287483,0.6910289806276847
0.79144494794985643,0.79966093597952248,5.6786835221458511e-14,0.71021618113369422,0.81569625122177025
0.93036822735926894,0.92721931670962332,6.0310023357937772e-14,0.69635688014748598,0.91087999591557356
0.98652939290026909,0.98325247739863297,6.0346963758275481e-14,0.67751907829835578,0.97313217663141827
0.99999999999988187,0.99999999999980438,6.0380890670303992e-14,0.66729785051121426,1
