angular_anomaly,kx,ky,omega_aniso
0.0037766250415640634,-0.92484991727724575,-0.92484991727724575,3.0436296196253578
1.3489209749195652e-13,-0.8508619238950661,-0.92484991727724575,3.0047821007349409
1.4465092906886575e-05,-0.77687393051288645,-0.92484991727724575,2.972217362271496
4.1176047563429297e-05,-0.70288593713070679,-0.92484991727724575,2.9454512367651819
7.8506476931394439e-05,-0.62889794374852714,-0.92484991727724575,2.9238983221958423
7.433798465383834e-05,-0.55490995036634749,-0.92484991727724575,2.9069183291482847
0.00016812842748831214,-0.48092195698416773,-0.92484991727724575,2.8938554703912103
0.00025651971465540883,-0.40693396360198808,-0.92484991727724575,2.8840695717044444
0.00014887543166364203,-0.33294597021980843,-0.92484991727724575,2.8769604980425809
0.00020760333625377547,-0.25895797683762878,-0.92484991727724575,2.8719884944788734
0.00028078693814434508,-0.18496998345544913,-0.92484991727724575,2.8686925602168034
0.00033270559816397927,-0.11098199007326948,-0.92484991727724575,2.8667076811004151
0.00033107099824342123,-0.036993996691089714,-0.92484991727724575,2.8657802924348768
0.00033107099773893589,0.036993996691089936,-0.92484991727724575,2.8657802924348732
0.00033270559804496336,0.11098199007326959,-0.92484991727724575,2.8667076811002712
0.00028078693830066448,0.18496998345544924,-0.92484991727724575,2.868692560216858
0.00020760333615030269,0.25895797683762889,-0.92484991727724575,2.8719884944789253
0.00014887543125641223,0.33294597021980854,-0.92484991727724575,2.8769604980423344
0.00025651971520075038,0.40693396360198819,-0.92484991727724575,2.8840695717049756
0.00016812842796926075,0.48092195698416784,-0.92484991727724575,2.8938554703915202
7.433798465383834e-05,0.55490995036634749,-0.92484991727724575,2.9069183291482847
7.8506476931394439e-05,0.62889794374852714,-0.92484991727724575,2.9238983221958423
4.1176047563429297e-05,0.70288593713070679,-0.92484991727724575,2.9454512367651819
1.4465092906886575e-05,0.77687393051288645,-0.92484991727724575,2.972217362271496
3.141931159689193e-14,0.85086192389506632,-0.92484991727724575,3.0047821007346736
0.0037766250415640634,0.92484991727724575,-0.92484991727724575,3.0436296196253578
-2.7855495687845178e-13,-0.92484991727724575,-0.8508619238950661,3.0047821007348485
-2.8930185871948403e-05,-0.8508619238950661,-0.8508619238950661,2.9693639180208211
